iter	Passed	Remaining
439	1358	1728
440	1361	1725
441	1364	1722
442	1366	1718
443	1369	1714
444	1372	1712
445	1375	1708
446	1377	1704
447	1380	1701
448	1383	1697
449	1387	1695
450	1390	1692
451	1393	1689
452	1396	1686
453	1399	1682
454	1401	1679
455	1404	1675
456	1407	1671
457	1409	1668
458	1412	1665
459	1415	1662
460	1419	1659
461	1422	1656
462	1425	1652
463	1429	1650
464	1431	1647
465	1434	1644
466	1437	1640
467	1440	1637
468	1443	1634
469	1446	1630
470	1448	1627
471	1451	1623
472	1454	1620
473	1456	1616
474	1459	1612
475	1462	1609
476	1464	1606
477	1467	1602
478	1470	1599
479	1473	1596
480	1476	1593
481	1479	1589
482	1482	1587
483	1485	1583
484	1487	1579
485	1490	1576
486	1493	1572
487	1496	1569
488	1499	1566
489	1501	1563
490	1504	1559
491	1507	1556
492	1509	1552
493	1512	1549
494	1515	1546
495	1518	1543
496	1521	1539
497	1524	1536
498	1527	1533
499	1530	1530
500	1532	1526
501	1535	1523
502	1537	1519
503	1540	1516
504	1543	1513
505	1547	1510
506	1549	1507
507	1552	1503
508	1555	1500
509	1558	1497
510	1562	1495
511	1565	1491
512	1567	1488
513	1570	1484
514	1572	1481
515	1575	1477
516	1577	1474
517	1580	1470
518	1583	1467
519	1586	1464
520	1589	1460
521	1592	1457
522	1594	1454
523	1597	1451
524	1600	1447
525	1602	1444
526	1605	1441
527	1608	1437
528	1611	1434
529	1613	1431
530	1616	1427
531	1619	1424
532	1621	1420
533	1624	1417
534	1627	1414
535	1630	1411
536	1632	1407
537	1635	1404
538	1638	1401
539	1641	1397
540	1644	1395
541	1648	1392
542	1650	1389
543	1653	1385
544	1655	1382
545	1658	1379
546	1661	1375
547	1663	1372
548	1666	1368
549	1668	1365
550	1671	1362
551	1674	1359
552	1677	1356
553	1680	1352
554	1682	1349
555	1685	1345
556	1688	1342
557	1690	1339
558	1693	1336
559	1696	1333
560	1699	1329
561	1702	1327
562	1705	1323
563	1708	1320
564	1711	1317
565	1714	1314
566	1716	1310
567	1719	1307
568	1721	1304
569	1724	1301
570	1727	1298
571	1730	1294
572	1733	1291
573	1735	1288
574	1738	1284
575	1741	1281
576	1744	1278
577	1746	1275
578	1750	1272
579	1753	1269
580	1755	1265
581	1758	1262
582	1761	1259
583	1764	1256
584	1766	1253
585	1770	1250
586	1772	1247
587	1775	1244
588	1778	1241
589	1781	1237
590	1783	1234
591	1786	1230
592	1788	1227
593	1791	1224
594	1794	1221
595	1797	1218
596	1799	1214
597	1802	1211
598	1805	1208
599	1808	1205
600	1811	1202
601	1814	1199
602	1816	1196
603	1819	1192
604	1821	1189
605	1825	1186
606	1828	1183
607	1830	1180
608	1833	1177
609	1836	1173
610	1839	1170
611	1841	1167
612	1844	1164
613	1847	1161
614	1850	1158
615	1853	1155
616	1855	1151
617	1859	1149
618	1861	1146
619	1864	1142
620	1867	1139
621	1869	1136
622	1872	1133
623	1874	1129
624	1877	1126
625	1880	1123
626	1883	1120
627	1886	1117
628	1889	1114
629	1892	1111
630	1895	1108
631	1897	1105
632	1900	1101
633	1903	1098
634	1906	1095
635	1909	1092
636	1911	1089
637	1914	1086
638	1916	1082
639	1919	1079
640	1922	1076
